id,title,owner_role,product_id,kind,status,depends_on,outcome
WP-T06,Assurance evidence ingestion,Tracera seat 06,PRD-TRACERA,implementation-after-approval,PLANNED_NOT_CLAIMED,WP-T01;WP-G03,"Wrong revision, absent run and failed critical obligation cannot produce qualification."
WP-T07,Product exploration UI,Tracera seat 07,PRD-TRACERA,implementation-after-approval,PLANNED_NOT_CLAIMED,WP-T01;WP-T04,Actual UI explains a product without unbounded expansion or invented relationships.
WP-T08,CLI/API/MCP parity,Tracera seat 08,PRD-TRACERA,implementation-after-approval,PLANNED_NOT_CLAIMED,WP-T01;WP-T04,Human and agent queries expose same semantics and reject unauthorized access.
WP-T09,Packaging/runtime and recovery,Tracera seat 09,PRD-TRACERA,implementation-after-approval,PLANNED_NOT_CLAIMED,WP-T01,Real artifact installs and survives restart/failure under its support contract.
WP-T10,Independent comparative and adversarial verification,Tracera seat 10,PRD-TRACERA,verification,PLANNED_NOT_CLAIMED,WP-T01;WP-G06,Predeclared queries/gaps/negative controls compare against a competent existing workflow.
WP-T11,Integrated product witness and artifact acceptance,Tracera seat 01 + independent verifier,PRD-TRACERA,verification,PLANNED_NOT_CLAIMED,WP-T02;WP-T03;WP-T04;WP-T05;WP-T06;WP-T07;WP-T08;WP-T09;WP-T10,"Actual installed graph imports a real product, explains a genuine gap, updates from evidence and survives restart."
WP-P01-A,Bind AgilePlus atlas and current artifact,AgilePlus product owner,PRD-AGILEPLUS,discovery,PLANNED_NOT_CLAIMED,WP-G01,Source-bound atlas and current-horizon gap record with real public entrypoint and preserved unknowns.
WP-P01-B,Qualify AgilePlus oracles and comparative baseline,AgilePlus assurance owner,PRD-AGILEPLUS,verification,PLANNED_NOT_CLAIMED,WP-P01-A;WP-G06,Independent required-profile QA and positive/negative pilot fixture; no measured winner until executed.
WP-P01-C,Deliver one AgilePlus semantic improvement,AgilePlus product owner,PRD-AGILEPLUS,implementation-after-approval,PLANNED_NOT_CLAIMED,WP-P01-A;WP-P01-B,Explicit machine-verifiable work contracts remove coordination ambiguity with less administrative effort than ad hoc files and boards. Acceptance requires preserved critical behavior and measured result.
WP-P01-D,Qualify AgilePlus CVP and record comparison,AgilePlus independent verifier/integration owner,PRD-AGILEPLUS,verification,PLANNED_NOT_CLAIMED,WP-P01-B;WP-P01-C,"Clean installation and an actual scoped CLI/MCP/desktop journey with durable correct state, required checks and a source-bound receipt; unrelated projects work without Phenotype branding or portfolio data."
WP-P02-A,Bind HeliosLab atlas and current artifact,HeliosLab product owner,PRD-HELIOSLAB,discovery,PLANNED_NOT_CLAIMED,WP-G01,Source-bound atlas and current-horizon gap record with real public entrypoint and preserved unknowns.
WP-P02-B,Qualify HeliosLab oracles and comparative baseline,HeliosLab assurance owner,PRD-HELIOSLAB,verification,PLANNED_NOT_CLAIMED,WP-P02-A;WP-G06,Independent required-profile QA and positive/negative pilot fixture; no measured winner until executed.
WP-P02-C,Deliver one HeliosLab semantic improvement,HeliosLab product owner,PRD-HELIOSLAB,implementation-after-approval,PLANNED_NOT_CLAIMED,WP-P02-A;WP-P02-B,"A coherent local workbench or precise configuration tool reduces context switching and setup, not just rebrands a generic workspace. Acceptance requires preserved critical behavior and measured result."
WP-P02-D,Qualify HeliosLab CVP and record comparison,HeliosLab independent verifier/integration owner,PRD-HELIOSLAB,verification,PLANNED_NOT_CLAIMED,WP-P02-B;WP-P02-C,"The accepted product identity is explicit and the corresponding real UI/CLI workflow installs, persists, survives restart and protects secrets."
WP-P03-A,Bind ResearchLedger atlas and current artifact,ResearchLedger product owner,PRD-RESEARCHLEDGER,discovery,PLANNED_NOT_CLAIMED,WP-G01,Source-bound atlas and current-horizon gap record with real public entrypoint and preserved unknowns.
WP-P03-B,Qualify ResearchLedger oracles and comparative baseline,ResearchLedger assurance owner,PRD-RESEARCHLEDGER,verification,PLANNED_NOT_CLAIMED,WP-P03-A;WP-G06,Independent required-profile QA and positive/negative pilot fixture; no measured winner until executed.
WP-P03-C,Deliver one ResearchLedger semantic improvement,ResearchLedger product owner,PRD-RESEARCHLEDGER,implementation-after-approval,PLANNED_NOT_CLAIMED,WP-P03-A;WP-P03-B,Less source cleanup and more trustworthy source-grounded retrieval while keeping the vault portable and privately owned. Acceptance requires preserved critical behavior and measured result.
WP-P03-D,Qualify ResearchLedger CVP and record comparison,ResearchLedger independent verifier/integration owner,PRD-RESEARCHLEDGER,verification,PLANNED_NOT_CLAIMED,WP-P03-B;WP-P03-C,Actual vault survives clean import/export/reopen and supports an evidence-backed research task without private material leaking or a compulsory cloud service.
WP-P04-A,Bind SessionLedger atlas and current artifact,SessionLedger product owner,PRD-SESSIONLEDGER,discovery,PLANNED_NOT_CLAIMED,WP-G01,Source-bound atlas and current-horizon gap record with real public entrypoint and preserved unknowns.
WP-P04-B,Qualify SessionLedger oracles and comparative baseline,SessionLedger assurance owner,PRD-SESSIONLEDGER,verification,PLANNED_NOT_CLAIMED,WP-P04-A;WP-G06,Independent required-profile QA and positive/negative pilot fixture; no measured winner until executed.
WP-P04-C,Deliver one SessionLedger semantic improvement,SessionLedger product owner,PRD-SESSIONLEDGER,implementation-after-approval,PLANNED_NOT_CLAIMED,WP-P04-A;WP-P04-B,Cross-harness provenance and recovery reduce operator uncertainty without turning transcripts into a new authority or side-effect replay engine. Acceptance requires preserved critical behavior and measured result.
WP-P04-D,Qualify SessionLedger CVP and record comparison,SessionLedger independent verifier/integration owner,PRD-SESSIONLEDGER,verification,PLANNED_NOT_CLAIMED,WP-P04-B;WP-P04-C,"An installed consumer ingests real authorized captures, exposes unknowns, retrieves a source-linked event, and restores raw evidence without secret leakage or side effects."
WP-P05-A,Bind KCode atlas and current artifact,KCode product owner,PRD-KCODE,discovery,PLANNED_NOT_CLAIMED,WP-G01,Source-bound atlas and current-horizon gap record with real public entrypoint and preserved unknowns.
WP-P05-B,Qualify KCode oracles and comparative baseline,KCode assurance owner,PRD-KCODE,verification,PLANNED_NOT_CLAIMED,WP-P05-A;WP-G06,Independent required-profile QA and positive/negative pilot fixture; no measured winner until executed.
WP-P05-C,Deliver one KCode semantic improvement,KCode product owner,PRD-KCODE,implementation-after-approval,PLANNED_NOT_CLAIMED,WP-P05-A;WP-P05-B,"Sustained useful operation at lower memory and recovery burden, with stronger rather than weaker mutation safety. Acceptance requires preserved critical behavior and measured result."
WP-P05-D,Qualify KCode CVP and record comparison,KCode independent verifier/integration owner,PRD-KCODE,verification,PLANNED_NOT_CLAIMED,WP-P05-B;WP-P05-C,"Owned native binary installs and resumes the controlled fault workload with correct state, no unauthorized mutations, and a measured incremental advantage over upstream."
WP-P06-A,Bind HeliosLite atlas and current artifact,HeliosLite product owner,PRD-HELIOSLITE,discovery,PLANNED_NOT_CLAIMED,WP-G01,Source-bound atlas and current-horizon gap record with real public entrypoint and preserved unknowns.
WP-P06-B,Qualify HeliosLite oracles and comparative baseline,HeliosLite assurance owner,PRD-HELIOSLITE,verification,PLANNED_NOT_CLAIMED,WP-P06-A;WP-G06,Independent required-profile QA and positive/negative pilot fixture; no measured winner until executed.
WP-P06-C,Deliver one HeliosLite semantic improvement,HeliosLite product owner,PRD-HELIOSLITE,implementation-after-approval,PLANNED_NOT_CLAIMED,WP-P06-A;WP-P06-B,"Connection continuity and usable session recovery on the actual endpoints, while preserving scope and provenance. Acceptance requires preserved critical behavior and measured result."
WP-P06-D,Qualify HeliosLite CVP and record comparison,HeliosLite independent verifier/integration owner,PRD-HELIOSLITE,verification,PLANNED_NOT_CLAIMED,WP-P06-B;WP-P06-C,"One current installed fork completes the controlled coding journey, with stable reconnection and safe legacy-session behavior proved at its artifact revision."
WP-P07-A,Bind HeliosCLI atlas and current artifact,HeliosCLI product owner,PRD-HELIOSCLI,discovery,PLANNED_NOT_CLAIMED,WP-G01,Source-bound atlas and current-horizon gap record with real public entrypoint and preserved unknowns.
WP-P07-B,Qualify HeliosCLI oracles and comparative baseline,HeliosCLI assurance owner,PRD-HELIOSCLI,verification,PLANNED_NOT_CLAIMED,WP-P07-A;WP-G06,Independent required-profile QA and positive/negative pilot fixture; no measured winner until executed.
WP-P07-C,Deliver one HeliosCLI semantic improvement,HeliosCLI product owner,PRD-HELIOSCLI,implementation-after-approval,PLANNED_NOT_CLAIMED,WP-P07-A;WP-P07-B,A small useful compatibility or workflow delta that justifies maintaining the fork; inherited Codex features alone are not novelty. Acceptance requires preserved critical behavior and measured result.
WP-P07-D,Qualify HeliosCLI CVP and record comparison,HeliosCLI independent verifier/integration owner,PRD-HELIOSCLI,verification,PLANNED_NOT_CLAIMED,WP-P07-B;WP-P07-C,"The installed advertised command, not a sibling test binary, completes an allowed task and handles errors/resume without scope loss."
WP-P08-A,Bind Khostty atlas and current artifact,Khostty product owner,PRD-KHOSTTY,discovery,PLANNED_NOT_CLAIMED,WP-G01,Source-bound atlas and current-horizon gap record with real public entrypoint and preserved unknowns.
WP-P08-B,Qualify Khostty oracles and comparative baseline,Khostty assurance owner,PRD-KHOSTTY,verification,PLANNED_NOT_CLAIMED,WP-P08-A;WP-G06,Independent required-profile QA and positive/negative pilot fixture; no measured winner until executed.
WP-P08-C,Deliver one Khostty semantic improvement,Khostty product owner,PRD-KHOSTTY,implementation-after-approval,PLANNED_NOT_CLAIMED,WP-P08-A;WP-P08-B,A specific embedding/workflow improvement with no unacceptable terminal correctness regression. Acceptance requires preserved critical behavior and measured result.
WP-P08-D,Qualify Khostty CVP and record comparison,Khostty independent verifier/integration owner,PRD-KHOSTTY,verification,PLANNED_NOT_CLAIMED,WP-P08-B;WP-P08-C,An actual installed/embedded terminal performs the claimed delta and passes the relevant correctness corpus against a known upstream reference.
WP-P09-A,Bind ShareCLI atlas and current artifact,ShareCLI product owner,PRD-SHARECLI,discovery,PLANNED_NOT_CLAIMED,WP-G01,Source-bound atlas and current-horizon gap record with real public entrypoint and preserved unknowns.
WP-P09-B,Qualify ShareCLI oracles and comparative baseline,ShareCLI assurance owner,PRD-SHARECLI,verification,PLANNED_NOT_CLAIMED,WP-P09-A;WP-G06,Independent required-profile QA and positive/negative pilot fixture; no measured winner until executed.
WP-P09-C,Deliver one ShareCLI semantic improvement,ShareCLI product owner,PRD-SHARECLI,implementation-after-approval,PLANNED_NOT_CLAIMED,WP-P09-A;WP-P09-B,Safely remove redundant work and contention without corrupting task semantics or degrading foreground use. Acceptance requires preserved critical behavior and measured result.
WP-P09-D,Qualify ShareCLI CVP and record comparison,ShareCLI independent verifier/integration owner,PRD-SHARECLI,verification,PLANNED_NOT_CLAIMED,WP-P09-B;WP-P09-C,"One installed supervisor handles the complete adversarial workload under realistic contention, with exact behavior and meaningful resource benefit measured."
WP-P10-A,Bind BytePort atlas and current artifact,BytePort product owner,PRD-BYTEPORT,discovery,PLANNED_NOT_CLAIMED,WP-G01,Source-bound atlas and current-horizon gap record with real public entrypoint and preserved unknowns.
WP-P10-B,Qualify BytePort oracles and comparative baseline,BytePort assurance owner,PRD-BYTEPORT,verification,PLANNED_NOT_CLAIMED,WP-P10-A;WP-G06,Independent required-profile QA and positive/negative pilot fixture; no measured winner until executed.
WP-P10-C,Deliver one BytePort semantic improvement,BytePort product owner,PRD-BYTEPORT,implementation-after-approval,PLANNED_NOT_CLAIMED,WP-P10-A;WP-P10-B,Less operator work for the local/native or heterogeneous deployment case while maintaining recovery correctness. Acceptance requires preserved critical behavior and measured result.
WP-P10-D,Qualify BytePort CVP and record comparison,BytePort independent verifier/integration owner,PRD-BYTEPORT,verification,PLANNED_NOT_CLAIMED,WP-P10-B;WP-P10-C,"Actual service reachable through the authorized route, configuration and update behavior correct, failed deployment recoverable, data preserved and rollback independently demonstrated."
WP-P11-A,Bind PhenoFabric atlas and current artifact,PhenoFabric product owner,PRD-PHENOFABRIC,discovery,PLANNED_NOT_CLAIMED,WP-G01,Source-bound atlas and current-horizon gap record with real public entrypoint and preserved unknowns.
WP-P11-B,Qualify PhenoFabric oracles and comparative baseline,PhenoFabric assurance owner,PRD-PHENOFABRIC,verification,PLANNED_NOT_CLAIMED,WP-P11-A;WP-G06,Independent required-profile QA and positive/negative pilot fixture; no measured winner until executed.
WP-P11-C,Deliver one PhenoFabric semantic improvement,PhenoFabric product owner,PRD-PHENOFABRIC,implementation-after-approval,PLANNED_NOT_CLAIMED,WP-P11-A;WP-P11-B,"A unified user workflow with topology-aware efficient placement, not merely a new transport protocol or a collection of wrapped tools. Acceptance requires preserved critical behavior and measured result."
WP-P11-D,Qualify PhenoFabric CVP and record comparison,PhenoFabric independent verifier/integration owner,PRD-PHENOFABRIC,verification,PLANNED_NOT_CLAIMED,WP-P11-B;WP-P11-C,A real two-node public workflow plus a justified local path completes with truthful quality/performance evidence and safe recovery; paper interfaces alone do not qualify.
WP-P12-A,Bind Pine atlas and current artifact,Pine product owner,PRD-PINE,discovery,PLANNED_NOT_CLAIMED,WP-G01,Source-bound atlas and current-horizon gap record with real public entrypoint and preserved unknowns.
WP-P12-B,Qualify Pine oracles and comparative baseline,Pine assurance owner,PRD-PINE,verification,PLANNED_NOT_CLAIMED,WP-P12-A;WP-G06,Independent required-profile QA and positive/negative pilot fixture; no measured winner until executed.
WP-P12-C,Deliver one Pine semantic improvement,Pine product owner,PRD-PINE,implementation-after-approval,PLANNED_NOT_CLAIMED,WP-P12-A;WP-P12-B,A narrow practical compatibility capability or integration improvement; a general replacement claim requires a much larger corpus. Acceptance requires preserved critical behavior and measured result.
WP-P12-D,Qualify Pine CVP and record comparison,Pine independent verifier/integration owner,PRD-PINE,verification,PLANNED_NOT_CLAIMED,WP-P12-B;WP-P12-C,One useful declared program runs correctly with bounded failures and a reproducible comparison; research limits remain prominent.
WP-P13-A,Bind OmniRoute atlas and current artifact,OmniRoute product owner,PRD-OMNIROUTE,discovery,PLANNED_NOT_CLAIMED,WP-G01,Source-bound atlas and current-horizon gap record with real public entrypoint and preserved unknowns.
WP-P13-B,Qualify OmniRoute oracles and comparative baseline,OmniRoute assurance owner,PRD-OMNIROUTE,verification,PLANNED_NOT_CLAIMED,WP-P13-A;WP-G06,Independent required-profile QA and positive/negative pilot fixture; no measured winner until executed.
WP-P13-C,Deliver one OmniRoute semantic improvement,OmniRoute product owner,PRD-OMNIROUTE,implementation-after-approval,PLANNED_NOT_CLAIMED,WP-P13-A;WP-P13-B,"A specific operational fit on the actual endpoints with reliable normalization and accounting, not a provider-count contest. Acceptance requires preserved critical behavior and measured result."
WP-P13-D,Qualify OmniRoute CVP and record comparison,OmniRoute independent verifier/integration owner,PRD-OMNIROUTE,verification,PLANNED_NOT_CLAIMED,WP-P13-B;WP-P13-C,"Deployed fork identity and actual used-provider contracts are qualified with negative cases, accurate accounting and safe cancellation."
WP-P14-A,Bind Substrate atlas and current artifact,Substrate product owner,PRD-SUBSTRATE,discovery,PLANNED_NOT_CLAIMED,WP-G01,Source-bound atlas and current-horizon gap record with real public entrypoint and preserved unknowns.
WP-P14-B,Qualify Substrate oracles and comparative baseline,Substrate assurance owner,PRD-SUBSTRATE,verification,PLANNED_NOT_CLAIMED,WP-P14-A;WP-G06,Independent required-profile QA and positive/negative pilot fixture; no measured winner until executed.
WP-P14-C,Deliver one Substrate semantic improvement,Substrate product owner,PRD-SUBSTRATE,implementation-after-approval,PLANNED_NOT_CLAIMED,WP-P14-A;WP-P14-B,A precise control/embedding contract with less integration burden; generic routing alone is already well served. Acceptance requires preserved critical behavior and measured result.
WP-P14-D,Qualify Substrate CVP and record comparison,Substrate independent verifier/integration owner,PRD-SUBSTRATE,verification,PLANNED_NOT_CLAIMED,WP-P14-B;WP-P14-C,"The chosen public boundary completes real process or model work, with cancellation/auth/budget semantics independently verified and overlapping authorities resolved."
WP-P15-A,Bind PhenoMLX atlas and current artifact,PhenoMLX product owner,PRD-PHENOMLX,discovery,PLANNED_NOT_CLAIMED,WP-G01,Source-bound atlas and current-horizon gap record with real public entrypoint and preserved unknowns.
WP-P15-B,Qualify PhenoMLX oracles and comparative baseline,PhenoMLX assurance owner,PRD-PHENOMLX,verification,PLANNED_NOT_CLAIMED,WP-P15-A;WP-G06,Independent required-profile QA and positive/negative pilot fixture; no measured winner until executed.
WP-P15-C,Deliver one PhenoMLX semantic improvement,PhenoMLX product owner,PRD-PHENOMLX,implementation-after-approval,PLANNED_NOT_CLAIMED,WP-P15-A;WP-P15-B,"A reproducible quality-preserving throughput, memory or workflow improvement over the actual upstream baseline. Acceptance requires preserved critical behavior and measured result."
WP-P15-D,Qualify PhenoMLX CVP and record comparison,PhenoMLX independent verifier/integration owner,PRD-PHENOMLX,verification,PLANNED_NOT_CLAIMED,WP-P15-B;WP-P15-C,"Clean install, useful inference, cancel/unload/restart and memory pressure behavior are qualified; model and build identity accompany every performance claim."
WP-P16-A,Bind Portage atlas and current artifact,Portage product owner,PRD-PORTAGE,discovery,PLANNED_NOT_CLAIMED,WP-G01,Source-bound atlas and current-horizon gap record with real public entrypoint and preserved unknowns.
WP-P16-B,Qualify Portage oracles and comparative baseline,Portage assurance owner,PRD-PORTAGE,verification,PLANNED_NOT_CLAIMED,WP-P16-A;WP-G06,Independent required-profile QA and positive/negative pilot fixture; no measured winner until executed.
WP-P16-C,Deliver one Portage semantic improvement,Portage product owner,PRD-PORTAGE,implementation-after-approval,PLANNED_NOT_CLAIMED,WP-P16-A;WP-P16-B,"A measured environment/adapter/scheduling or evidence benefit over upstream, not a renamed runner. Acceptance requires preserved critical behavior and measured result."
WP-P16-D,Qualify Portage CVP and record comparison,Portage independent verifier/integration owner,PRD-PORTAGE,verification,PLANNED_NOT_CLAIMED,WP-P16-B;WP-P16-C,"Clean fork installation runs the useful benchmark and deliberately failing cases, preserving logs/rewards and enforcing declared limits."
WP-P17-A,Bind PhenoLab atlas and current artifact,PhenoLab product owner,PRD-PHENOLAB,discovery,PLANNED_NOT_CLAIMED,WP-G01,Source-bound atlas and current-horizon gap record with real public entrypoint and preserved unknowns.
WP-P17-B,Qualify PhenoLab oracles and comparative baseline,PhenoLab assurance owner,PRD-PHENOLAB,verification,PLANNED_NOT_CLAIMED,WP-P17-A;WP-G06,Independent required-profile QA and positive/negative pilot fixture; no measured winner until executed.
WP-P17-C,Deliver one PhenoLab semantic improvement,PhenoLab product owner,PRD-PHENOLAB,implementation-after-approval,PLANNED_NOT_CLAIMED,WP-P17-A;WP-P17-B,"Less work to produce trustworthy reusable experiments, with stronger failure accounting rather than more abstractions. Acceptance requires preserved critical behavior and measured result."
WP-P17-D,Qualify PhenoLab CVP and record comparison,PhenoLab independent verifier/integration owner,PRD-PHENOLAB,verification,PLANNED_NOT_CLAIMED,WP-P17-B;WP-P17-C,"One real reproducible experiment bundle includes all outcomes, source/config identities, actual scorer evidence and an independent known-negative control."
WP-P18-A,Bind Civis atlas and current artifact,Civis product owner,PRD-CIVIS,discovery,PLANNED_NOT_CLAIMED,WP-G01,Source-bound atlas and current-horizon gap record with real public entrypoint and preserved unknowns.
WP-P18-B,Qualify Civis oracles and comparative baseline,Civis assurance owner,PRD-CIVIS,verification,PLANNED_NOT_CLAIMED,WP-P18-A;WP-G06,Independent required-profile QA and positive/negative pilot fixture; no measured winner until executed.
WP-P18-C,Deliver one Civis semantic improvement,Civis product owner,PRD-CIVIS,implementation-after-approval,PLANNED_NOT_CLAIMED,WP-P18-A;WP-P18-B,A convincing persistent world with fluid but meaningful god/leader/individual play and understandable systemic consequences. Acceptance requires preserved critical behavior and measured result.
WP-P18-D,Qualify Civis CVP and record comparison,Civis independent verifier/integration owner,PRD-CIVIS,verification,PLANNED_NOT_CLAIMED,WP-P18-B;WP-P18-C,"Installed player build outside the checkout visibly supports the accepted journey, required presentation, actual state continuity and bounded unattended execution; headless tests alone are insufficient."
WP-P19-A,Bind Dino atlas and current artifact,Dino product owner,PRD-DINO,discovery,PLANNED_NOT_CLAIMED,WP-G01,Source-bound atlas and current-horizon gap record with real public entrypoint and preserved unknowns.
WP-P19-B,Qualify Dino oracles and comparative baseline,Dino assurance owner,PRD-DINO,verification,PLANNED_NOT_CLAIMED,WP-P19-A;WP-G06,Independent required-profile QA and positive/negative pilot fixture; no measured winner until executed.
WP-P19-C,Deliver one Dino semantic improvement,Dino product owner,PRD-DINO,implementation-after-approval,PLANNED_NOT_CLAIMED,WP-P19-A;WP-P19-B,A safer and faster practical mod-authoring workflow with real game integration and useful diagnostics. Acceptance requires preserved critical behavior and measured result.
WP-P19-D,Qualify Dino CVP and record comparison,Dino independent verifier/integration owner,PRD-DINO,verification,PLANNED_NOT_CLAIMED,WP-P19-B;WP-P19-C,"A new pack visibly works in the installed supported game, handles conflicts and failures correctly, and can be disabled/uninstalled without corrupting owned or unowned state."
WP-P20-A,Bind WorldSphereMod atlas and current artifact,WorldSphereMod product owner,PRD-WORLDSPHEREMOD,discovery,PLANNED_NOT_CLAIMED,WP-G01,Source-bound atlas and current-horizon gap record with real public entrypoint and preserved unknowns.
WP-P20-B,Qualify WorldSphereMod oracles and comparative baseline,WorldSphereMod assurance owner,PRD-WORLDSPHEREMOD,verification,PLANNED_NOT_CLAIMED,WP-P20-A;WP-G06,Independent required-profile QA and positive/negative pilot fixture; no measured winner until executed.
WP-P20-C,Deliver one WorldSphereMod semantic improvement,WorldSphereMod product owner,PRD-WORLDSPHEREMOD,implementation-after-approval,PLANNED_NOT_CLAIMED,WP-P20-A;WP-P20-B,The specific 3D/world presentation improvement with explicit acceptable performance and compatibility trade-offs. Acceptance requires preserved critical behavior and measured result.
WP-P20-D,Qualify WorldSphereMod CVP and record comparison,WorldSphereMod independent verifier/integration owner,PRD-WORLDSPHEREMOD,verification,PLANNED_NOT_CLAIMED,WP-P20-B;WP-P20-C,"Qualified package renders the real game under declared profiles, preserves save behavior and has a demonstrated safe removal path."
WP-P21-A,Bind CivicWarfare atlas and current artifact,CivicWarfare product owner,PRD-CIVICWARFARE,discovery,PLANNED_NOT_CLAIMED,WP-G01,Source-bound atlas and current-horizon gap record with real public entrypoint and preserved unknowns.
WP-P21-B,Qualify CivicWarfare oracles and comparative baseline,CivicWarfare assurance owner,PRD-CIVICWARFARE,verification,PLANNED_NOT_CLAIMED,WP-P21-A;WP-G06,Independent required-profile QA and positive/negative pilot fixture; no measured winner until executed.
WP-P21-C,Deliver one CivicWarfare semantic improvement,CivicWarfare product owner,PRD-CIVICWARFARE,implementation-after-approval,PLANNED_NOT_CLAIMED,WP-P21-A;WP-P21-B,A distinct enjoyable scenario or gameplay experience; novelty need not be in databases/renderers underneath it. Acceptance requires preserved critical behavior and measured result.
WP-P21-D,Qualify CivicWarfare CVP and record comparison,CivicWarfare independent verifier/integration owner,PRD-CIVICWARFARE,verification,PLANNED_NOT_CLAIMED,WP-P21-B;WP-P21-C,"The distributed public artifact installs and plays as intended, with authentic evidence, correct save/version handling and clear producer provenance."
WP-P22-A,Bind Melosviz atlas and current artifact,Melosviz product owner,PRD-MELOSVIZ,discovery,PLANNED_NOT_CLAIMED,WP-G01,Source-bound atlas and current-horizon gap record with real public entrypoint and preserved unknowns.
WP-P22-B,Qualify Melosviz oracles and comparative baseline,Melosviz assurance owner,PRD-MELOSVIZ,verification,PLANNED_NOT_CLAIMED,WP-P22-A;WP-G06,Independent required-profile QA and positive/negative pilot fixture; no measured winner until executed.
WP-P22-C,Deliver one Melosviz semantic improvement,Melosviz product owner,PRD-MELOSVIZ,implementation-after-approval,PLANNED_NOT_CLAIMED,WP-P22-A;WP-P22-B,"A faster music-specific path to controllable, repeatable visual work with reliable output, not generic graphics novelty. Acceptance requires preserved critical behavior and measured result."
WP-P22-D,Qualify Melosviz CVP and record comparison,Melosviz independent verifier/integration owner,PRD-MELOSVIZ,verification,PLANNED_NOT_CLAIMED,WP-P22-B;WP-P22-C,An actual installed or deployed application handles real media through the complete authoring/export/reopen path with measured synchronization and truthful backend status.
WP-S01,PhenoInfra capability/consumer contract,PhenoInfra pooled owner,,discovery,PLANNED_NOT_CLAIMED,WP-G01;WP-G02,"A real clean consumer provisions and recovers its intended resource, and a restore drill preserves state and ownership."
WP-S02,PhenoTooling capability/consumer contract,PhenoTooling pooled owner,,discovery,PLANNED_NOT_CLAIMED,WP-G01;WP-G02,Real checkers reject seeded failures; product copies have one writer/release authority; actual consumers install and use the supported package.
WP-S03,PhenoAI capability/consumer contract,PhenoAI pooled owner,,discovery,PLANNED_NOT_CLAIMED,WP-G01;WP-G02,"Each retained package has a clean consumer, truthful support profile and an adopt/patch/wrap/retain decision backed by tests."
WP-S04,PhenoGfx capability/consumer contract,PhenoGfx pooled owner,,discovery,PLANNED_NOT_CLAIMED,WP-G01;WP-G02,At least the accepted real consumers exercise the canonical package with correct ABI/data/rendering and explicit performance budgets.
